実質季節調整系列,,,,,,,,, ,,,,,,,,,,,,,
Gross Domestic Expenditure at Constant Prices (seasonally adjusted series),,,,,,,,,,,,,,,,,,,,,,
※旧68SNA・1990年基準計数（1999年4-6月期から2000年1-3月期の計数は速報値、2000年4-6月期以降の計数は簡便的に推計した参考系列である。）,,,,,,,,,,,,(1990暦年基準),,,,,,(単位:10億円),,,,
"    Former SNA68 series ; Benchmark year=1990 (Apr.-Jun.1999 to Jan.-Mar.2000:Preliminary , Apr.-Jun. to Oct.-Dec.2000:Referential)",,,,,,,,,,,,(at market prices in calendar year of 1990),,,,,,(billion yen),,,,
,民間最終消費支出,民間住宅,民間企業設備,民間在庫品増加,政府最終消費支出,公的固定資本形成,公的在庫品増加,財貨・サービス,,,国内総支出,要素所得,,,国民総支出,国内需要,民間需要,公的需要,,,,
,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,
,Private Consumption,Residential Investment,Non-Resi. Investment,Private Inventory,Government Consumption,Public Investment,Public Inventory,Goods & Services,,,GDE(=GDP),Factor Incomes,,,GNE(=GNP),Domestic Demand,Private Demand,Public Demand,,,,
,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,
1955/ 1- 3.,,,, , ,,,,,,,,,,,,,,,,,
4- 6.,142302.9 ,17174.5 ,30543.2 ,344.2 ,24461.9 ,21246.5 ,-55.5 ,-2293.8 ,17009.0 ,19302.8 ,233723.9 ,-186.7 ,2078.9 ,2265.6 ,233537.2 ,236017.7 ,190364.8 ,45652.9 
7- 9.,142996.2 ,17917.9 ,30475.3 ,757.0 ,24917.3 ,21119.4 ,399.9 ,-2199.2 ,17220.0 ,19419.2 ,236383.9 ,-228.6 ,1940.2 ,2168.8 ,236155.3 ,238583.1 ,192146.4 ,46436.6 
10-12.,143979.3 ,18319.0 ,30086.6 ,569.6 ,25217.2 ,21426.5 ,521.1 ,-1249.7 ,18162.6 ,19412.4 ,238869.5 ,-151.6 ,1955.5 ,2107.1 ,238717.9 ,240119.2 ,192954.5 ,47164.7 
1976/ 1- 3.,144332.5 ,19119.3 ,30076.1 ,59.5 ,25230.7 ,22456.7 ,345.8 ,-727.1 ,19292.4 ,20019.5 ,240893.5 ,-360.7 ,1792.0 ,2152.7 ,240532.8 ,241620.6 ,193587.4 ,48033.2 
4- 6.,145428.5 ,18536.1 ,30346.7 ,778.0 ,25543.2 ,21739.2 ,316.2 ,-371.2 ,19984.2 ,20355.3 ,242316.7 ,-198.6 ,1924.6 ,2123.2 ,242118.1 ,242687.9 ,195089.3 ,47598.5 
7- 9.,147879.1 ,19074.6 ,30729.8 ,1402.9 ,25838.5 ,21519.7 ,22.9 ,-743.9 ,20433.4 ,21177.3 ,245723.6 ,-267.0 ,1774.7 ,2041.7 ,245456.7 ,246467.6 ,199086.4 ,47381.2 
10-12.,149061.6 ,17995.0 ,30478.9 ,1664.7 ,26068.9 ,20320.9 ,505.3 ,-79.4 ,21367.6 ,21447.0 ,246015.9 ,-120.5 ,1885.0 ,2005.6 ,245895.4 ,246095.3 ,199200.2 ,46895.1 
1977/ 1- 3.,150530.8 ,19201.5 ,30347.4 ,1366.2 ,26355.2 ,22320.9 ,349.7 ,925.2 ,22246.1 ,21320.9 ,251396.9 ,-230.0 ,1702.8 ,1932.8 ,251166.9 ,250471.7 ,201445.9 ,49025.8 
4- 6.,152437.8 ,18593.5 ,30250.4 ,1303.3 ,26489.1 ,22822.1 ,189.1 ,1080.8 ,22685.2 ,21604.4 ,253166.2 ,-118.1 ,1821.0 ,1939.1 ,253048.2 ,252085.4 ,202585.1 ,49500.3 
7- 9.,153336.4 ,18203.4 ,30150.8 ,837.6 ,26834.6 ,24120.8 ,277.9 ,1130.6 ,23106.1 ,21975.5 ,254892.0 ,-137.2 ,1693.2 ,1830.4 ,254754.9 ,253761.4 ,202528.2 ,51233.3 
10-12.,154317.3 ,19246.3 ,30356.4 ,753.9 ,27293.3 ,24476.7 ,815.3 ,1090.4 ,22630.0 ,21539.6 ,258349.5 ,-33.6 ,1675.4 ,1709.0 ,258316.0 ,257259.2 ,204673.9 ,52585.3 
1978/ 1- 3.,157285.5 ,20366.9 ,30237.5 ,307.8 ,27579.5 ,25245.7 ,470.1 ,1737.2 ,23721.8 ,21984.6 ,263230.2 ,-42.8 ,1759.7 ,1802.5 ,263187.4 ,261493.0 ,208197.6 ,53295.4 
4- 6.,158420.3 ,19822.1 ,30877.4 ,516.0 ,27922.3 ,27488.8 ,506.8 ,235.1 ,22755.2 ,22520.1 ,265788.8 ,68.5 ,1674.4 ,1605.9 ,265857.3 ,265553.7 ,209635.8 ,55917.9 
7- 9.,161318.0 ,19432.5 ,31629.8 ,907.1 ,28321.6 ,27501.5 ,888.9 ,-773.3 ,22116.2 ,22889.5 ,269226.2 ,140.5 ,1848.4 ,1707.8 ,269366.7 ,269999.4 ,213287.5 ,56712.0 
10-12.,165159.3 ,19719.6 ,33658.4 ,1114.8 ,28723.0 ,27316.1 ,478.6 ,-3058.4 ,21917.9 ,24976.3 ,273111.3 ,205.1 ,1951.7 ,1746.7 ,273316.4 ,276169.8 ,219652.1 ,56517.7 
1979/ 1- 3.,168314.8 ,18865.7 ,34915.9 ,1499.1 ,29114.4 ,27831.3 ,387.4 ,-3732.7 ,22332.5 ,26065.2 ,277195.9 ,521.4 ,2602.1 ,2080.7 ,277717.3 ,280928.6 ,223595.5 ,57333.1 
4- 6.,171482.6 ,20022.1 ,35346.1 ,1294.4 ,29326.7 ,27450.4 ,407.0 ,-3068.6 ,22868.1 ,25936.7 ,282260.7 ,333.2 ,2680.0 ,2346.8 ,282593.8 ,285329.3 ,228145.2 ,57184.0 
7- 9.,172486.5 ,20355.5 ,36028.9 ,1737.0 ,29465.9 ,27119.4 ,-28.7 ,-2751.0 ,23681.2 ,26432.2 ,284413.4 ,421.4 ,2925.4 ,2503.9 ,284834.9 ,287164.5 ,230607.9 ,56556.6 
10-12.,171962.0 ,19084.2 ,36468.6 ,1901.7 ,29361.9 ,27566.8 ,-59.0 ,-636.6 ,25278.2 ,25914.8 ,285649.6 ,98.7 ,3420.4 ,3321.7 ,285748.3 ,286286.2 ,229416.5 ,56869.7 
1980/ 1- 3.,172462.3 ,18491.1 ,37472.6 ,1662.2 ,30003.3 ,26041.8 ,24.4 ,2691.8 ,26806.1 ,24114.3 ,288849.4 ,-30.5 ,3514.6 ,3545.1 ,288818.9 ,286157.7 ,230088.2 ,56069.5 
4- 6.,172806.0 ,18565.2 ,38476.4 ,1633.7 ,30019.2 ,25163.8 ,284.4 ,2180.0 ,27341.2 ,25161.2 ,289128.7 ,-232.2 ,3480.2 ,3712.4 ,288896.5 ,286948.7 ,231481.3 ,55467.4 
7- 9.,172772.4 ,17376.5 ,38917.5 ,1698.4 ,30136.2 ,25703.7 ,-295.0 ,3856.7 ,27387.3 ,23530.6 ,290166.4 ,-23.3 ,3350.6 ,3373.9 ,290143.1 ,286309.7 ,230764.7 ,55545.0 
10-12.,173827.6 ,16871.2 ,39138.8 ,1283.0 ,30739.4 ,27235.7 ,-1070.2 ,5240.9 ,28662.0 ,23421.1 ,293266.5 ,-71.2 ,3326.0 ,3397.3 ,293195.3 ,288025.7 ,231120.7 ,56904.9 
1981/ 1- 3.,173950.3 ,17391.1 ,39764.9 ,2434.1 ,31150.9 ,27509.3 ,-124.8 ,5555.2 ,29385.1 ,23829.9 ,297630.9 ,-566.0 ,3607.0 ,4173.0 ,297064.8 ,292075.7 ,233540.4 ,58535.3 
4- 6.,174483.5 ,17906.9 ,40000.5 ,1537.7 ,31393.4 ,26587.5 ,-100.3 ,6604.0 ,30969.0 ,24365.0 ,298413.3 ,-653.9 ,4298.1 ,4952.0 ,297759.4 ,291809.3 ,233928.6 ,57880.7 
7- 9.,175491.3 ,17520.2 ,39946.6 ,941.7 ,31698.0 ,27336.1 ,-388.5 ,8024.3 ,32087.5 ,24063.2 ,300569.6 ,-703.6 ,4798.8 ,5502.4 ,299866.0 ,292545.3 ,233899.7 ,58645.6 
10-12.,177886.7 ,16768.3 ,40088.8 ,1556.3 ,32090.5 ,26706.9 ,-445.5 ,7171.3 ,31497.8 ,24326.5 ,301823.3 ,-595.0 ,5113.4 ,5708.3 ,301228.3 ,294652.0 ,236300.2 ,58351.8 
1982/ 1- 3.,180000.5 ,16651.2 ,40413.7 ,2253.8 ,32544.5 ,26295.7 ,-245.7 ,7022.8 ,31643.8 ,24621.0 ,304936.6 ,-167.8 ,5348.2 ,5515.9 ,304768.9 ,297913.8 ,239319.2 ,58594.6 
4- 6.,182264.1 ,17095.2 ,40498.9 ,1883.6 ,32382.7 ,27025.7 ,-83.5 ,7469.1 ,31211.9 ,23742.8 ,308535.7 ,-274.6 ,5809.9 ,6084.5 ,308261.1 ,301066.6 ,241741.8 ,59324.8 
7- 9.,183307.1 ,17384.6 ,40542.2 ,1808.3 ,32443.0 ,26664.5 ,-535.8 ,8147.3 ,31469.5 ,23322.2 ,309761.1 ,228.2 ,5974.8 ,5746.6 ,309989.3 ,301613.9 ,243042.2 ,58571.7 
10-12.,186622.7 ,18001.2 ,40366.1 ,469.8 ,32624.7 ,26302.2 ,-661.6 ,8376.2 ,30886.7 ,22510.5 ,312101.2 ,552.5 ,6110.4 ,5557.9 ,312653.8 ,303725.0 ,245459.8 ,58265.2 
1983/ 1- 3.,187810.5 ,17373.8 ,40123.1 ,282.3 ,32803.8 ,25922.1 ,-459.7 ,9213.2 ,31435.2 ,22221.9 ,313069.2 ,132.4 ,4607.6 ,4475.2 ,313201.6 ,303855.9 ,245589.8 ,58266.2 
4- 6.,187774.5 ,15679.0 ,40458.5 ,833.8 ,33347.5 ,26527.4 ,-182.6 ,9545.0 ,31855.1 ,22310.1 ,313983.2 ,523.0 ,4701.4 ,4178.4 ,314506.2 ,304438.2 ,244745.9 ,59692.3 
7- 9.,189669.7 ,16100.9 ,41599.0 ,392.1 ,33641.2 ,26188.9 ,-448.2 ,10663.4 ,33246.3 ,22582.9 ,317807.0 ,408.2 ,4682.7 ,4274.5 ,318215.2 ,307143.7 ,247761.7 ,59382.0 
10-12.,191638.7 ,16054.6 ,42229.6 ,604.5 ,33522.0 ,25509.6 ,-443.2 ,10308.1 ,34463.6 ,24155.5 ,319423.9 ,353.6 ,4947.6 ,4594.0 ,319777.6 ,309115.8 ,250527.4 ,58588.5 
1984/ 1- 3.,192935.1 ,15841.2 ,44192.4 ,636.1 ,33717.1 ,25101.6 ,-65.4 ,11231.3 ,36065.6 ,24834.3 ,323589.4 ,555.2 ,4999.3 ,4444.1 ,324144.6 ,312358.1 ,253604.7 ,58753.3 
4- 6.,194388.5 ,15924.5 ,45215.3 ,521.0 ,34079.8 ,25625.5 ,206.1 ,12285.1 ,37227.2 ,24942.2 ,328245.8 ,579.2 ,5228.3 ,4649.1 ,328825.0 ,315960.7 ,256049.3 ,59911.4 
7- 9.,194470.4 ,15995.9 ,46296.5 ,1193.0 ,34213.8 ,25270.8 ,422.2 ,12070.7 ,37967.6 ,25896.9 ,329933.3 ,326.6 ,5469.1 ,5142.5 ,330259.9 ,317862.6 ,257955.9 ,59906.8 
10-12.,195089.6 ,15870.8 ,47884.9 ,95.9 ,34433.3 ,24546.7 ,-107.2 ,13993.2 ,39152.5 ,25159.3 ,331807.3 ,787.9 ,6023.2 ,5235.4 ,332595.1 ,317814.0 ,258941.2 ,58872.8 
1985/ 1- 3.,197344.0 ,16195.4 ,48624.2 ,2698.5 ,34056.9 ,24241.4 ,-48.9 ,13659.5 ,39010.0 ,25350.4 ,336771.1 ,897.0 ,6267.1 ,5370.2 ,337668.1 ,323111.5 ,264862.1 ,58249.4 
4- 6.,200119.0 ,16722.7 ,50620.6 ,1725.0 ,34050.5 ,22880.7 ,-316.0 ,15556.2 ,40619.1 ,25062.9 ,341358.6 ,1389.7 ,6621.9 ,5232.2 ,342748.4 ,325802.5 ,269187.3 ,56615.2 
7- 9.,200653.1 ,16210.3 ,52787.2 ,1326.4 ,34165.9 ,23147.4 ,242.7 ,15043.4 ,39502.3 ,24458.9 ,343576.3 ,1361.1 ,6289.9 ,4928.8 ,344937.4 ,328532.9 ,270977.0 ,57555.9 
10-12.,204149.7 ,16154.9 ,53770.7 ,1179.5 ,34560.0 ,23337.6 ,815.2 ,15005.1 ,39592.1 ,24587.0 ,348972.7 ,1189.8 ,5578.7 ,4388.9 ,350162.5 ,333967.6 ,275254.7 ,58712.8 
1986/ 1- 3.,203735.6 ,16662.1 ,53269.0 ,1945.2 ,35199.5 ,23261.8 ,-140.0 ,12654.0 ,37193.1 ,24539.1 ,346587.2 ,1165.2 ,5543.1 ,4377.9 ,347752.4 ,333933.1 ,275611.9 ,58321.3 
4- 6.,206550.6 ,17306.1 ,54010.7 ,692.6 ,35267.1 ,24315.0 ,1310.0 ,12532.9 ,38088.9 ,25556.0 ,351985.1 ,1510.6 ,5556.5 ,4046.0 ,353495.7 ,339452.2 ,278560.0 ,60892.2 
7- 9.,209376.2 ,18075.9 ,53773.1 ,757.9 ,35651.3 ,24619.0 ,754.5 ,11353.7 ,37165.5 ,25811.8 ,354361.5 ,1160.4 ,5333.0 ,4172.5 ,355522.0 ,343007.8 ,281983.1 ,61024.7 
10-12.,210661.5 ,18479.1 ,54369.1 ,711.2 ,37778.8 ,24558.1 ,-393.5 ,11867.6 ,37337.6 ,25470.0 ,358031.8 ,1362.4 ,6113.9 ,4751.4 ,359394.2 ,346164.2 ,284220.9 ,61943.3 
1987/ 1- 3.,213917.3 ,19073.0 ,55255.7 ,298.3 ,36153.0 ,24578.7 ,-26.9 ,11183.1 ,36795.3 ,25612.2 ,360432.2 ,1563.5 ,6846.7 ,5283.2 ,361995.7 ,349249.1 ,288544.3 ,60704.8 
4- 6.,214116.9 ,20628.5 ,56539.1 ,596.2 ,36539.9 ,24983.0 ,-270.0 ,9785.8 ,36897.8 ,27112.0 ,362919.4 ,1791.8 ,7275.0 ,5483.2 ,364711.2 ,353133.6 ,291880.6 ,61252.9 
7- 9.,217275.3 ,22316.1 ,57388.5 ,428.8 ,36629.4 ,25901.7 ,-23.4 ,8935.1 ,37481.9 ,28546.8 ,368851.4 ,2736.9 ,8843.8 ,6106.9 ,371588.3 ,359916.3 ,297408.6 ,62507.6 
10-12.,219956.5 ,24185.3 ,58827.5 ,1337.5 ,36811.8 ,27087.7 ,305.8 ,8089.9 ,37812.2 ,29722.3 ,376602.1 ,2660.2 ,9205.4 ,6545.2 ,379262.3 ,368512.2 ,304306.8 ,64205.4 
1988/ 1- 3.,223654.3 ,24856.3 ,61548.0 ,2134.3 ,37021.7 ,27702.0 ,-49.8 ,6360.3 ,37815.7 ,31455.3 ,383227.1 ,2365.9 ,9476.9 ,7111.0 ,385593.0 ,376866.8 ,312192.9 ,64673.9 
4- 6.,226732.4 ,23248.9 ,64562.8 ,2732.7 ,37165.6 ,26624.8 ,-220.0 ,5438.4 ,38348.3 ,32910.0 ,386285.5 ,2045.8 ,9610.0 ,7564.2 ,388331.4 ,380847.2 ,317276.8 ,63570.4 
7- 9.,229390.5 ,23908.8 ,67249.5 ,3482.1 ,37734.0 ,26707.8 ,-235.8 ,5670.6 ,40827.0 ,35156.4 ,393907.5 ,2852.8 ,11521.3 ,8668.5 ,396760.3 ,388236.9 ,324030.9 ,64206.0 
10-12.,231302.6 ,24386.5 ,68169.6 ,3486.5 ,37634.0 ,26572.8 ,-200.1 ,6052.6 ,40781.8 ,34729.2 ,397404.5 ,2497.9 ,11919.0 ,9421.1 ,399902.5 ,391351.9 ,327345.2 ,64006.7 
1989/ 1- 3.,236458.8 ,24438.1 ,72817.5 ,2104.2 ,37878.9 ,26600.6 ,-30.5 ,3473.0 ,42042.7 ,38569.7 ,403740.6 ,2340.5 ,12621.8 ,10281.3 ,406081.1 ,400267.6 ,335818.7 ,64448.9 
4- 6.,234009.9 ,24304.6 ,71619.0 ,4185.3 ,38255.4 ,26004.3 ,-35.4 ,4401.0 ,42959.9 ,38558.9 ,402744.2 ,1750.2 ,13983.4 ,12233.2 ,404494.4 ,398343.1 ,334118.9 ,64224.3 
7- 9.,239201.6 ,24108.6 ,76150.3 ,3007.2 ,38390.8 ,26989.9 ,-95.1 ,3776.1 ,43844.1 ,40067.9 ,411529.4 ,3686.2 ,16242.4 ,12556.2 ,415215.6 ,407753.3 ,342467.7 ,65285.6 
10-12.,244568.4 ,24316.7 ,78499.0 ,3498.8 ,37951.9 ,27333.1 ,-89.6 ,1371.5 ,43423.5 ,42052.0 ,417450.0 ,4163.8 ,18078.6 ,13914.8 ,421613.7 ,416078.5 ,350883.0 ,65195.4 
1990/ 1- 3.,244984.9 ,24840.8 ,79853.3 ,1695.9 ,38214.7 ,27651.6 ,-1.9 ,1840.1 ,45007.8 ,43167.8 ,419079.4 ,4425.7 ,19020.8 ,14595.1 ,423505.1 ,417239.3 ,351375.0 ,65864.4 
4- 6.,249804.4 ,25186.2 ,81627.9 ,2808.3 ,38630.5 ,28289.9 ,6.2 ,2100.7 ,45927.6 ,43826.9 ,428454.0 ,2438.0 ,19554.9 ,17116.8 ,430892.1 ,426353.3 ,359426.7 ,66926.6 
7- 9.,250609.6 ,25883.6 ,83800.7 ,2653.5 ,38746.6 ,28279.4 ,457.6 ,2902.4 ,45852.6 ,42950.3 ,433333.3 ,2459.2 ,17947.0 ,15487.7 ,435792.5 ,430430.9 ,362947.4 ,67483.6 
10-12.,251068.5 ,25832.8 ,86761.4 ,2194.5 ,39155.9 ,28515.8 ,-57.8 ,5386.7 ,47348.0 ,41961.3 ,438857.7 ,2342.6 ,17780.1 ,15437.4 ,441200.3 ,433471.0 ,365857.2 ,67613.8 
1991/ 1- 3.,251540.6 ,25364.7 ,88752.4 ,2864.2 ,39556.5 ,28415.8 ,-13.0 ,6266.6 ,47469.7 ,41203.1 ,442747.7 ,3541.9 ,19167.0 ,15625.1 ,446289.6 ,436481.1 ,368521.8 ,67959.3 
4- 6.,255133.4 ,23749.4 ,88655.1 ,3875.0 ,38906.6 ,29164.1 ,-464.2 ,6689.6 ,47425.8 ,40736.2 ,445708.8 ,2658.6 ,19393.7 ,16735.1 ,448367.5 ,439019.2 ,371412.8 ,67606.4 
7- 9.,256203.9 ,22618.2 ,88161.1 ,4420.5 ,39364.4 ,29435.1 ,1.4 ,6740.1 ,48862.3 ,42122.2 ,446944.8 ,3387.0 ,19783.4 ,16396.4 ,450331.8 ,440204.7 ,371403.8 ,68801.0 
10-12.,258633.3 ,21698.5 ,87961.2 ,3558.0 ,40020.1 ,30891.5 ,-242.2 ,7509.3 ,49965.7 ,42456.4 ,450029.6 ,2883.1 ,18953.9 ,16070.8 ,452912.7 ,442520.3 ,371850.9 ,70669.4 
1992/ 1- 3.,261231.7 ,21565.9 ,86186.6 ,3311.2 ,40042.9 ,31699.2 ,-66.3 ,8452.4 ,50332.8 ,41880.4 ,452423.4 ,3265.5 ,18299.4 ,15033.9 ,455688.9 ,443971.0 ,372295.3 ,71675.7 
4- 6.,261073.9 ,22183.2 ,84379.3 ,1353.1 ,39612.2 ,33521.3 ,-78.2 ,8848.9 ,50327.6 ,41478.7 ,450893.7 ,4094.9 ,18470.0 ,14375.1 ,454988.6 ,442044.8 ,368989.5 ,73055.3 
7- 9.,260409.0 ,21887.3 ,82810.9 ,751.0 ,40211.7 ,33889.1 ,-110.8 ,9983.1 ,51034.3 ,41051.2 ,449831.3 ,4248.5 ,18113.2 ,13864.7 ,454079.8 ,439848.2 ,365858.2 ,73990.0 
10-12.,260486.2 ,21486.6 ,80541.5 ,758.1 ,41083.7 ,35594.4 ,57.2 ,10607.2 ,51599.9 ,40992.8 ,450614.9 ,4809.5 ,18247.4 ,13437.9 ,455424.4 ,440007.8 ,363272.4 ,76735.3 
1993/ 1- 3.,261069.2 ,20960.3 ,78241.7 ,48.6 ,40751.2 ,37899.7 ,96.8 ,11216.4 ,52280.4 ,41064.0 ,450283.9 ,4740.4 ,17943.1 ,13202.7 ,455024.3 ,439067.5 ,360319.8 ,78747.7 
4- 6.,262456.7 ,21401.8 ,75636.1 ,3188.1 ,41104.5 ,37878.7 ,23.6 ,10695.7 ,51414.9 ,40719.3 ,452385.3 ,4129.7 ,16524.2 ,12394.5 ,456515.0 ,441689.6 ,362682.8 ,79006.9 
7- 9.,264625.8 ,23135.7 ,74027.1 ,28.5 ,41446.3 ,39819.2 ,-281.3 ,10529.0 ,51829.0 ,41300.0 ,453330.4 ,3541.0 ,15193.4 ,11652.4 ,456871.4 ,442801.4 ,361817.2 ,80984.2 
10-12.,266953.7 ,23573.8 ,71822.9 ,593.3 ,41431.6 ,40331.4 ,-370.3 ,8643.4 ,50513.4 ,41870.0 ,452979.9 ,4110.0 ,16438.6 ,12328.7 ,457089.9 ,444336.6 ,362943.8 ,81392.8 
1994/ 1- 3.,266719.7 ,22654.1 ,70558.5 ,-501.1 ,41615.3 ,40866.4 ,142.5 ,9499.5 ,52586.3 ,43086.8 ,451555.0 ,3787.5 ,15330.6 ,11543.2 ,455342.4 ,442055.5 ,359431.2 ,82624.2 
4- 6.,267352.6 ,24555.0 ,71236.9 ,-782.4 ,42287.0 ,40761.0 ,274.8 ,9112.6 ,53485.6 ,44373.0 ,454797.4 ,4158.6 ,16071.9 ,11913.3 ,458956.0 ,445684.9 ,362362.2 ,83322.7 
7- 9.,270511.2 ,25494.5 ,70815.4 ,-353.3 ,42283.4 ,40164.9 ,392.5 ,8761.6 ,54324.5 ,45562.9 ,458070.3 ,3402.9 ,16002.4 ,12599.6 ,461473.1 ,449308.7 ,366467.8 ,82840.9 
10-12.,270936.3 ,23904.9 ,70944.3 ,488.6 ,42488.0 ,39534.6 ,392.0 ,8471.3 ,54976.1 ,46504.8 ,457160.0 ,3580.8 ,16468.8 ,12888.0 ,460740.9 ,448688.8 ,366274.1 ,82414.7 
1995/ 1- 3.,267825.8 ,23608.8 ,71326.2 ,702.3 ,43275.7 ,37908.0 ,117.3 ,7691.2 ,55797.5 ,48106.3 ,452455.3 ,3552.0 ,16488.7 ,12936.7 ,456007.3 ,444764.1 ,363463.2 ,81301.0 
4- 6.,274294.0 ,22317.7 ,74737.6 ,414.2 ,43376.2 ,38316.3 ,119.6 ,7287.6 ,57377.9 ,50090.3 ,460863.2 ,3215.0 ,16428.7 ,13213.7 ,464078.1 ,453575.6 ,371763.4 ,81812.2 
7- 9.,277014.9 ,21822.5 ,75084.9 ,782.4 ,43890.6 ,41377.3 ,114.7 ,4600.5 ,56963.7 ,52363.2 ,464687.8 ,4346.5 ,20020.5 ,15674.0 ,469034.4 ,460087.3 ,374704.7 ,85382.6 
10-12.,278468.9 ,22927.2 ,77079.4 ,1053.5 ,43708.4 ,43029.3 ,151.2 ,2396.6 ,56920.6 ,54524.0 ,468814.4 ,4202.3 ,20612.6 ,16410.3 ,473016.7 ,466417.9 ,379529.0 ,86888.9 
1996/ 1- 3.,281450.9 ,24189.8 ,79096.0 ,2786.6 ,44112.6 ,46678.1 ,326.9 ,2435.8 ,58217.5 ,55781.7 ,481076.6 ,4642.2 ,23825.8 ,19183.6 ,485718.8 ,478640.9 ,387523.3 ,91117.6 
4- 6.,281399.1 ,25556.7 ,81054.1 ,2448.0 ,44074.7 ,47827.9 ,125.7 ,866.4 ,58361.8 ,57495.4 ,483352.6 ,5558.6 ,25382.6 ,19824.0 ,488911.3 ,482486.3 ,390457.9 ,92028.4 
7- 9.,281639.5 ,26298.7 ,84294.9 ,2376.7 ,44267.4 ,43110.6 ,86.4 ,3029.9 ,60727.4 ,57697.5 ,485104.0 ,5715.2 ,25427.3 ,19712.1 ,490819.1 ,482074.1 ,394609.8 ,87464.3 
10-12.,285499.6 ,26629.3 ,87138.0 ,2345.1 ,44973.7 ,41078.6 ,67.6 ,5277.6 ,63775.6 ,58498.0 ,493009.5 ,5192.7 ,25131.5 ,19938.8 ,498202.2 ,487731.8 ,401611.9 ,86119.9 
1997/ 1- 3.,292559.3 ,24510.6 ,90173.4 ,1662.9 ,44113.0 ,39371.8 ,108.5 ,6673.8 ,65230.8 ,58557.0 ,499173.3 ,6546.9 ,26809.4 ,20262.5 ,505720.2 ,492499.5 ,408906.3 ,83593.3 
4- 6.,278866.2 ,22199.1 ,90215.1 ,3309.7 ,45206.0 ,39190.9 ,66.0 ,10105.4 ,68078.9 ,57973.5 ,489158.3 ,6379.1 ,26197.3 ,19818.2 ,495537.4 ,479052.9 ,394590.0 ,84462.8 
7- 9.,283326.7 ,20380.9 ,90848.0 ,3649.7 ,45034.1 ,40780.2 ,77.8 ,9665.0 ,67264.1 ,57599.0 ,493762.5 ,5650.0 ,26544.3 ,20894.3 ,499412.5 ,484097.4 ,398205.3 ,85892.1 
10-12.,280773.4 ,19338.4 ,90571.7 ,2949.0 ,45646.3 ,39188.4 ,148.5 ,11979.3 ,68574.1 ,56594.8 ,490594.9 ,6502.1 ,30928.5 ,24426.4 ,497096.9 ,478615.6 ,393632.4 ,84983.2 
1998/ 1- 3.,281872.7 ,19103.1 ,88140.4 ,1144.2 ,45407.7 ,37863.1 ,108.9 ,11230.4 ,66490.3 ,55259.9 ,484870.5 ,6815.2 ,27307.8 ,20492.6 ,491685.7 ,473640.1 ,390260.4 ,83379.8 
4- 6.,282423.1 ,19122.6 ,85908.4 ,160.8 ,45323.5 ,37956.0 ,213.3 ,12800.5 ,65567.8 ,52767.3 ,483908.2 ,5891.1 ,29214.7 ,23323.6 ,489799.4 ,471107.7 ,387614.9 ,83492.8 
7- 9.,282532.3 ,18255.3 ,82524.8 ,-670.8 ,45806.1 ,36322.2 ,-30.2 ,13307.0 ,66058.2 ,52751.2 ,478046.7 ,7852.6 ,29376.3 ,21523.6 ,485899.3 ,464739.7 ,382641.6 ,82098.1 
10-12.,282284.9 ,17324.2 ,78068.1 ,-529.8 ,46198.6 ,40789.2 ,-540.1 ,12001.1 ,64338.2 ,52337.1 ,475596.1 ,7110.5 ,26537.1 ,19426.6 ,482706.6 ,463595.0 ,377147.3 ,86447.7 
1999/ 1- 3.,284691.4 ,17559.8 ,79829.1 ,182.2 ,46558.6 ,43307.0 ,-47.2 ,10782.2 ,64367.3 ,53585.1 ,482863.1 ,5477.5 ,23172.8 ,17695.3 ,488340.5 ,472080.9 ,382262.5 ,89818.4 
4- 6.,287902.2 ,19821.7 ,78158.2 ,638.0 ,45942.0 ,44524.3 ,166.1 ,10345.6 ,65308.7 ,54963.1 ,487498.1 ,5491.6 ,24457.1 ,18965.5 ,492989.7 ,477152.5 ,386520.1 ,90632.4 
7- 9.,287213.0 ,19192.9 ,76919.3 ,73.2 ,46339.3 ,40751.7 ,62.4 ,12066.7 ,68577.1 ,56510.4 ,482618.5 ,5498.5 ,20903.2 ,15404.7 ,488117.0 ,470551.8 ,383398.4 ,87153.4 
10-12.,282609.9 ,18077.5 ,79401.8 ,439.1 ,46271.8 ,38558.1 ,-442.7 ,9756.9 ,69075.1 ,59318.2 ,474672.4 ,4765.5 ,20475.6 ,15710.1 ,479437.9 ,464915.5 ,380528.3 ,84387.2 
2000/ 1- 3.,287458.5 ,19278.0 ,83185.6 ,271.5 ,46651.6 ,35670.1 ,90.5 ,13795.9 ,73044.8 ,59248.9 ,486401.7 ,6480.9 ,21821.6 ,15340.7 ,492882.6 ,472605.8 ,390193.6 ,82412.2 
4- 6.,290415.7 ,19140.8 ,80680.4 ,795.5 ,46026.2 ,40043.9 ,179.4 ,13778.1 ,76022.7 ,62244.6 ,491060.0 ,5187.8 ,22487.8 ,17300.0 ,496247.8 ,477281.9 ,391032.4 ,86249.5 
