実質季節調整系列,,,,,,,,, ,,,,,,,,,,,,,
Gross Domestic Expenditure at Constant Prices (seasonally adjusted series),,,,,,,,,,,,,,,,,,,,,,
※旧68SNA・1990年基準計数（1999年4-6月期から2000年1-3月期の計数は速報値、2000年4-6月期以降の計数は簡便的に推計した参考系列である。）,,,,,,,,,,,,(1990暦年基準),,,,,,(単位:10億円),,,,
"    Former SNA68 series ; Benchmark year=1990 (Apr.-Jun.1999 to Jan.-Mar.2000:Preliminary , Apr.-Jun. to Oct.-Dec.2000:Referential)",,,,,,,,,,,,(at market prices in calendar year of 1990),,,,,,(billion yen),,,,
,民間最終消費支出,民間住宅,民間企業設備,民間在庫品増加,政府最終消費支出,公的固定資本形成,公的在庫品増加,財貨・サービス,,,国内総支出,要素所得,,,国民総支出,国内需要,民間需要,公的需要,,,,
,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,
,Private Consumption,Residential Investment,Non-Resi. Investment,Private Inventory,Government Consumption,Public Investment,Public Inventory,Goods & Services,,,GDE(=GDP),Factor Incomes,,,GNE(=GNP),Domestic Demand,Private Demand,Public Demand,,,,
,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,
1955/ 1- 3.,,,, , ,,,,,,,,,,,,,,,,,
1960/ 1- 3.,45044.6 ,2815.8 ,6060.6 ,943.6 ,11813.0 ,3958.0 ,4.3 ,-1065.8 ,2432.2 ,3497.9 ,69574.1 ,-36.4 ,248.2 ,284.6 ,69537.7 ,70639.9 ,54864.6 ,15775.3 
4- 6.,45064.4 ,2838.3 ,6228.0 ,741.2 ,11710.6 ,3935.3 ,106.3 ,-948.7 ,2541.6 ,3490.3 ,69675.5 ,-39.2 ,257.2 ,296.3 ,69636.3 ,70624.1 ,54872.0 ,15752.2 
7- 9.,46507.2 ,2977.1 ,6913.7 ,792.3 ,11865.1 ,4057.2 ,139.5 ,-1203.4 ,2601.1 ,3804.5 ,72048.7 ,-12.3 ,336.4 ,348.7 ,72036.4 ,73252.1 ,57190.2 ,16061.9 
10-12.,47952.1 ,2995.7 ,7403.2 ,1057.1 ,12022.3 ,4381.2 ,196.6 ,-1190.2 ,2673.0 ,3863.2 ,74817.9 ,-121.9 ,253.4 ,375.3 ,74696.1 ,76008.2 ,59408.1 ,16600.0 
1961/ 1- 3.,49293.7 ,3343.9 ,7888.0 ,1431.2 ,12154.8 ,4566.5 ,-31.1 ,-1514.1 ,2640.4 ,4154.6 ,77132.8 ,-142.4 ,309.3 ,451.8 ,76990.4 ,78646.9 ,61956.7 ,16690.2 
4- 6.,50461.6 ,3157.8 ,8186.1 ,1668.7 ,12405.9 ,4729.2 ,-17.0 ,-1836.1 ,2667.7 ,4503.9 ,78756.1 ,-109.8 ,290.0 ,399.8 ,78646.4 ,80592.3 ,63474.2 ,17118.1 
7- 9.,51329.1 ,3199.5 ,8734.4 ,1456.1 ,12567.7 ,5142.9 ,24.2 ,-2199.6 ,2695.7 ,4895.3 ,80254.2 ,-89.4 ,292.0 ,381.4 ,80164.8 ,82453.8 ,64719.1 ,17734.7 
10-12.,52743.6 ,3429.3 ,9204.7 ,2458.1 ,12835.0 ,5560.8 ,-113.8 ,-2181.4 ,2793.2 ,4974.6 ,83936.3 ,-154.0 ,263.9 ,417.8 ,83782.3 ,86117.7 ,67835.6 ,18282.0 
1962/ 1- 3.,53641.4 ,3663.2 ,8986.2 ,1614.2 ,13027.8 ,5998.4 ,-172.1 ,-1673.8 ,3002.6 ,4676.4 ,85085.5 ,-150.0 ,293.3 ,443.3 ,84935.5 ,86759.3 ,67905.1 ,18854.1 
4- 6.,54378.0 ,3755.2 ,9134.9 ,1062.7 ,13340.3 ,6180.8 ,-164.6 ,-1421.5 ,3130.5 ,4552.1 ,86265.8 ,-146.2 ,294.9 ,441.1 ,86119.6 ,87687.4 ,68330.8 ,19356.5 
