実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"478,420.4 ","263,361.5 ","259,057.1 ","221,791.1 ","35,106.5 ","76,900.7 ","2,464.6 ","77,854.1 ","47,466.7 ",259.0 ,"-16,496.3 ","43,759.1 ","60,255.4 ","-8,496.4 ",,"18,453.5 ","496,873.9 ","6,177.7 ","11,671.7 ","5,494.0 ","503,051.5 ",,"500,081.9 ","376,586.0 ","123,485.3 ",,"156,263.4 ",,"475,409.0 ",,,
1997/ 1- 3.,"479,637.9 ","267,221.0 ","262,945.7 ","225,461.3 ","34,090.2 ","77,660.5 ",-355.8 ,"77,863.9 ","46,626.4 ",139.4 ,"-15,675.6 ","45,099.2 ","60,774.8 ","-7,932.1 ",,"17,905.6 ","497,543.5 ","6,686.8 ","12,378.4 ","5,691.6 ","504,230.3 ",,"500,263.3 ","377,600.6 ","122,618.9 ",,"155,435.3 ",,"479,340.9 ",,,
4- 6.,"476,097.4 ","260,325.8 ","256,131.6 ","218,507.7 ","30,911.8 ","77,803.8 ","2,476.8 ","78,053.4 ","46,666.1 ",79.0 ,"-12,734.8 ","47,011.3 ","59,746.1 ","-7,484.4 ",,"18,272.7 ","494,370.1 ","6,777.6 ","12,348.5 ","5,570.9 ","501,147.8 ",,"493,640.0 ","370,875.2 ","122,804.0 ",,"152,819.7 ",,"473,216.1 ",,,
7- 9.,"476,978.4 ","260,591.9 ","256,467.6 ","218,677.7 ","29,063.5 ","78,230.0 ","4,545.5 ","77,976.0 ","47,109.5 ",164.4 ,"-13,216.7 ","46,382.7 ","59,599.4 ","-7,485.8 ",,"18,322.2 ","495,300.6 ","5,913.0 ","11,632.2 ","5,719.2 ","501,213.6 ",,"495,136.2 ","371,964.7 ","123,214.1 ",,"152,037.2 ",,"472,109.2 ",,,
10-12.,"477,193.0 ","260,108.1 ","255,889.4 ","217,939.9 ","27,891.6 ","79,911.8 ","3,757.9 ","78,392.9 ","44,807.4 ",457.1 ,"-10,849.6 ","47,395.6 ","58,245.2 ","-7,284.3 ",,"19,005.5 ","496,198.4 ","7,030.3 ","13,234.5 ","6,204.2 ","503,228.7 ",,"493,204.3 ","371,478.1 ","121,724.3 ",,"150,733.5 ",,"472,838.0 ",,,
1998/ 1- 3.,"471,348.6 ","259,732.8 ","255,262.7 ","217,147.2 ","27,185.8 ","78,679.2 ","3,511.3 ","78,280.8 ","42,227.7 ",242.4 ,"-11,533.7 ","46,178.2 ","57,712.0 ","-6,977.5 ",,"19,765.9 ","491,114.5 ","6,624.0 ","12,467.4 ","5,843.4 ","497,738.5 ",,"487,991.1 ","368,909.8 ","119,016.4 ",,"146,434.3 ",,"467,395.1 ",,,
4- 6.,"469,297.2 ","259,519.4 ","254,765.6 ","216,491.0 ","26,659.3 ","77,937.9 ","1,599.7 ","78,887.2 ","41,854.9 ",172.5 ,"-9,906.1 ","45,261.6 ","55,167.8 ","-7,427.5 ",,"19,528.1 ","488,825.3 ","5,622.2 ","11,722.1 ","6,099.9 ","494,447.5 ",,"484,843.9 ","365,598.2 ","119,222.1 ",,"144,820.3 ",,"467,163.6 ",,,
7- 9.,"470,135.9 ","261,361.0 ","256,395.3 ","217,937.0 ","26,054.0 ","77,402.5 ",-403.9 ,"79,314.6 ","43,795.6 ",-81.8 ,"-9,826.9 ","45,432.2 ","55,259.1 ","-7,479.2 ",,"19,071.8 ","489,207.7 ","6,362.3 ","11,837.6 ","5,475.3 ","495,570.0 ",,"485,603.5 ","364,398.4 ","121,261.8 ",,"145,451.4 ",,"470,040.6 ",,,
10-12.,"473,938.1 ","260,993.5 ","255,882.7 ","217,257.4 ","25,483.2 ","75,354.6 ","2,429.0 ","79,870.4 ","48,298.4 ",-601.5 ,"-9,331.9 ","44,607.6 ","53,939.5 ","-8,557.8 ",,"19,523.1 ","493,461.1 ","5,793.3 ","10,093.0 ","4,299.6 ","499,254.5 ",,"489,480.9 ","364,072.5 ","125,613.1 ",,"146,819.5 ",,"471,616.5 ",,,
1999/ 1- 3.,"467,386.9 ","261,970.5 ","256,784.8 ","217,932.9 ","25,239.8 ","73,232.5 ","-3,512.9 ","80,736.4 ","48,482.2 ",-88.0 ,"-10,892.6 ","44,707.7 ","55,600.3 ","-7,780.9 ",,"20,445.0 ","487,831.9 ","5,155.2 ","9,859.0 ","4,703.8 ","492,987.1 ",,"483,780.6 ","357,062.2 ","127,060.1 ",,"144,500.6 ",,"470,038.0 ",,,
