実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"523,968.5 ","290,568.7 ","284,955.0 ","239,886.5 ","25,830.3 ","87,879.2 ",648.9 ,"92,402.1 ","28,008.3 ",-10.4 ,-483.9 ,"79,741.1 ","80,225.0 ",-874.6 ,,"8,743.4 ","532,711.9 ","15,194.3 ","21,401.4 ","6,207.1 ","547,906.2 ",,"525,241.4 ","404,905.5 ","120,216.5 ",,"141,581.6 ",,"522,879.1 ",,,
2007/ 1- 3.,"527,451.2 ","290,795.0 ","285,225.6 ","239,989.4 ","25,418.9 ","88,204.1 ","2,415.3 ","92,931.8 ","27,793.9 ",-108.7 ,732.9 ,"81,662.6 ","80,929.7 ",-732.0 ,,"8,292.8 ","535,744.0 ","16,277.7 ","22,908.7 ","6,631.0 ","552,021.7 ",,"527,383.7 ","406,825.7 ","120,432.7 ",,"141,324.7 ",,"524,758.1 ",,,
4- 6.,"527,626.7 ","292,400.7 ","286,885.5 ","241,509.4 ","24,982.7 ","87,221.5 ","1,000.9 ","93,781.6 ","27,144.0 ",139.7 ,"1,324.1 ","83,648.0 ","82,323.9 ",-368.5 ,,"7,686.9 ","535,313.6 ","16,981.7 ","23,159.2 ","6,177.5 ","552,295.3 ",,"526,757.0 ","405,660.2 ","120,978.5 ",,"139,278.4 ",,"526,010.3 ",,,
7- 9.,"524,747.7 ","289,557.4 ","284,077.8 ","238,572.8 ","22,943.2 ","86,152.1 ","1,663.7 ","93,633.9 ","26,754.6 ",46.5 ,"4,102.0 ","85,710.2 ","81,608.2 ",-105.7 ,,"6,001.3 ","530,749.0 ","15,244.4 ","23,188.9 ","7,944.6 ","545,993.4 ",,"520,951.7 ","400,491.5 ","120,350.9 ",,"135,873.2 ",,"522,599.5 ",,,
10-12.,"527,077.3 ","290,015.1 ","284,560.4 ","238,943.3 ","20,445.9 ","86,066.4 ","2,966.5 ","94,379.6 ","27,315.2 ",74.5 ,"5,643.6 ","88,166.0 ","82,522.4 ",170.6 ,,"1,975.2 ","529,052.5 ","16,974.9 ","23,956.1 ","6,981.1 ","546,027.4 ",,"521,593.2 ","399,829.6 ","121,668.0 ",,"133,948.7 ",,"523,637.1 ",,,
2008/ 1- 3.,"528,985.8 ","291,296.9 ","285,851.4 ","240,096.5 ","21,056.9 ","86,764.0 ","1,666.8 ","94,447.3 ","26,631.7 ",89.2 ,"6,740.1 ","90,383.5 ","83,643.4 ",293.0 ,,-435.9 ,"528,549.9 ","16,438.6 ","22,477.4 ","6,038.8 ","544,988.5 ",,"522,268.6 ","401,058.1 ","121,106.3 ",,"134,578.8 ",,"526,827.1 ",,,
4- 6.,"525,854.5 ","288,004.7 ","282,597.4 ","236,675.6 ","21,916.9 ","85,371.1 ","4,361.1 ","93,189.8 ","25,693.7 ",-40.8 ,"7,173.8 ","88,615.8 ","81,441.9 ",184.2 ,,"-2,913.0 ","522,941.5 ","12,951.8 ","18,843.5 ","5,891.8 ","535,893.2 ",,"518,772.0 ","399,871.6 ","118,778.8 ",,"133,068.5 ",,"521,156.4 ",,,
7- 9.,"519,243.4 ","287,127.4 ","281,762.1 ","235,670.3 ","22,461.6 ","84,000.9 ",-286.8 ,"93,178.6 ","25,614.4 ",-42.5 ,"6,950.1 ","88,682.6 ","81,732.5 ",239.5 ,,"-6,895.7 ","512,347.7 ","13,715.7 ","19,168.1 ","5,452.3 ","526,063.4 ",,"512,240.4 ","393,447.7 ","118,690.4 ",,"132,108.5 ",,"519,159.4 ",,,
10-12.,"506,558.1 ","282,708.0 ","277,306.5 ","231,021.0 ","22,280.6 ","81,265.0 ","7,079.8 ","93,596.7 ","25,558.2 ",52.0 ,"-5,569.4 ","77,459.3 ","83,028.7 ",-412.9 ,,"1,599.8 ","508,157.9 ","12,328.5 ","17,482.4 ","5,153.9 ","520,486.4 ",,"512,819.2 ","393,543.3 ","119,178.7 ",,"129,082.7 ",,"498,973.8 ",,,
2009/ 1- 3.,"482,160.8 ","281,307.2 ","275,808.0 ","229,341.8 ","20,322.2 ","76,333.1 ","-3,457.6 ","93,944.2 ","26,350.6 ",-92.3 ,"-11,929.2 ","57,723.9 ","69,653.1 ",-617.3 ,,"7,138.2 ","489,299.0 ","11,655.6 ","16,104.4 ","4,448.7 ","500,954.6 ",,"494,638.6 ","374,504.8 ","120,107.7 ",,"122,945.8 ",,"485,627.2 ",,,
4- 6.,"491,582.2 ","283,871.6 ","278,279.4 ","231,686.4 ","18,333.1 ","73,967.0 ","-4,341.5 ","95,243.0 ","28,350.9 ",7.8 ,"-3,703.7 ","62,981.4 ","66,685.1 ",-146.0 ,,"7,374.5 ","498,956.7 ","13,116.9 ","17,075.8 ","3,958.9 ","512,073.6 ",,"495,383.6 ","371,911.3 ","123,486.7 ",,"120,557.3 ",,"495,790.6 ",,,
7- 9.,"491,278.7 ","285,925.7 ","280,265.5 ","233,552.3 ","17,061.5 ","71,961.9 ","-6,347.8 ","96,217.1 ","27,874.6 ",4.6 ,"-1,236.3 ","69,077.9 ","70,314.2 ",-182.5 ,,"5,482.8 ","496,761.5 ","12,533.5 ","16,397.6 ","3,864.1 ","509,294.9 ",,"492,659.4 ","368,688.2 ","123,999.0 ",,"116,825.1 ",,"497,550.8 ",,,
10-12.,"497,505.7 ","287,755.2 ","282,031.9 ","235,187.9 ","16,562.0 ","71,283.3 ","-4,968.5 ","96,436.1 ","28,255.5 ",28.6 ,"2,283.1 ","73,991.7 ","71,708.6 ",-129.8 ,,"4,082.7 ","501,588.4 ","12,512.9 ","16,106.8 ","3,593.9 ","514,101.2 ",,"495,378.0 ","370,785.9 ","124,616.6 ",,"116,018.6 ",,"502,315.2 ",,,
2010/ 1- 3.,"502,712.2 ","288,814.8 ","283,032.8 ","236,045.7 ","17,449.7 ","71,739.5 ","-3,538.3 ","95,608.5 ","28,370.4 ",93.6 ,"4,641.6 ","78,413.1 ","73,771.5 ",-467.5 ,,"3,425.4 ","506,137.6 ","13,547.0 ","17,516.0 ","3,969.0 ","519,684.6 ",,"498,492.8 ","374,552.3 ","123,951.8 ",,"117,454.2 ",,"506,087.5 ",,,
4- 6.,"508,709.3 ","290,963.9 ","285,155.9 ","238,037.3 ","17,576.4 ","72,562.1 ",-896.9 ,"97,360.7 ","26,908.1 ",-15.1 ,"4,605.2 ","82,184.3 ","77,579.1 ",-355.0 ,,"3,142.2 ","511,851.5 ","13,213.7 ","17,505.1 ","4,291.4 ","525,065.2 ",,"504,448.4 ","380,245.5 ","124,204.0 ",,"116,993.0 ",,"509,637.9 ",,,
7- 9.,"517,857.8 ","295,301.9 ","289,469.9 ","242,242.4 ","17,766.3 ","73,433.3 ","2,306.8 ","97,761.6 ","26,617.3 ",-146.7 ,"5,323.6 ","84,461.2 ","79,137.6 ",-506.2 ,,"2,559.7 ","520,417.6 ","13,997.4 ","18,117.2 ","4,119.8 ","534,415.0 ",,"513,009.6 ","388,803.4 ","124,192.5 ",,"117,779.6 ",,"515,804.0 ",,,
10-12.,"513,751.1 ","290,355.4 ","284,415.9 ","236,950.3 ","18,356.3 ","73,334.0 ","2,568.4 ","98,272.2 ","26,049.8 ",-51.3 ,"5,331.4 ","84,756.8 ","79,425.4 ",-465.1 ,,"1,077.4 ","514,828.5 ","14,277.4 ","18,615.6 ","4,338.3 ","529,105.8 ",,"508,851.9 ","384,584.4 ","124,262.0 ",,"117,703.0 ",,"511,328.5 ",,,
2011/ 1- 3.,"508,333.9 ","285,618.5 ","279,493.3 ","231,886.0 ","18,973.1 ","75,032.2 ","1,027.4 ","98,800.7 ","25,605.9 ",-44.7 ,"3,549.3 ","84,042.7 ","80,493.4 ",-228.4 ,,"-1,312.7 ","507,021.2 ","14,985.5 ","19,281.9 ","4,296.4 ","522,006.6 ",,"505,000.7 ","380,615.9 ","124,378.6 ",,"119,596.2 ",,"507,410.3 ",,,
4- 6.,"503,865.3 ","287,656.5 ","281,333.8 ","233,799.3 ","18,613.9 ","73,670.6 ",596.2 ,"99,271.5 ","26,335.8 ",-5.4 ,"-2,508.2 ","77,691.5 ","80,199.7 ",234.3 ,,"-3,811.4 ","500,054.0 ","14,937.6 ","19,053.7 ","4,116.1 ","514,991.6 ",,"506,134.2 ","380,529.2 ","125,598.1 ",,"118,573.6 ",,"503,308.7 ",,,
7- 9.,"516,090.9 ","292,160.7 ","285,672.3 ","238,009.9 ","19,392.5 ","75,406.7 ","1,847.8 ","99,639.4 ","25,549.9 ",48.8 ,"2,095.7 ","84,981.1 ","82,885.5 ",-50.5 ,,"-4,952.5 ","511,138.4 ","14,875.7 ","19,011.2 ","4,135.6 ","526,014.1 ",,"514,068.1 ","388,794.7 ","125,275.1 ",,"120,326.6 ",,"514,216.2 ",,,
10-12.,"515,481.1 ","293,880.2 ","287,257.6 ","239,431.2 ","19,060.2 ","78,366.8 ",719.3 ,"99,964.6 ","24,703.8 ",-19.9 ,"-1,449.3 ","82,692.0 ","84,141.3 ",255.5 ,,"-5,516.8 ","509,964.3 ","14,063.0 ","18,215.7 ","4,152.7 ","524,027.3 ",,"516,739.9 ","392,030.0 ","124,716.8 ",,"122,180.1 ",,"514,810.2 ",,,
2012/ 1- 3.,"522,626.6 ","295,128.0 ","288,408.8 ","240,404.6 ","18,792.7 ","78,461.9 ","3,438.7 ","100,945.3 ","26,101.4 ",-1.7 ,-365.5 ,"85,289.6 ","85,655.0 ",125.6 ,,"-5,746.6 ","516,880.1 ","14,003.3 ","18,236.9 ","4,233.6 ","530,883.4 ",,"522,962.3 ","395,892.5 ","127,073.3 ",,"123,378.8 ",,"519,142.3 ",,,
4- 6.,"517,749.5 ","295,577.8 ","288,729.8 ","240,544.2 ","19,264.5 ","78,308.6 ",336.9 ,"100,711.0 ","26,500.8 ",54.3 ,"-3,126.5 ","84,514.6 ","87,641.1 ",122.2 ,,"-5,828.8 ","511,920.7 ","14,005.8 ","18,667.7 ","4,661.9 ","525,926.5 ",,"520,743.4 ","393,457.0 ","127,286.5 ",,"124,073.3 ",,"517,405.2 ",,,
7- 9.,"515,844.2 ","295,521.9 ","288,528.8 ","240,175.8 ","19,636.0 ","77,715.2 ","1,406.7 ","101,018.1 ","25,952.7 ",80.3 ,"-5,897.1 ","81,494.1 ","87,391.2 ",410.4 ,,"-4,077.4 ","511,766.8 ","14,394.7 ","18,517.3 ","4,122.7 ","526,161.5 ",,"521,356.8 ","394,261.5 ","127,098.0 ",,"123,296.4 ",,"514,367.8 ",,,
10-12.,"515,552.0 ","296,843.2 ","289,788.4 ","241,261.0 ","20,083.6 ","77,532.0 ",-254.3 ,"101,715.4 ","25,463.8 ",2.2 ,"-6,376.1 ","78,684.8 ","85,060.9 ",542.2 ,,"-4,893.2 ","510,658.8 ","14,642.2 ","19,365.9 ","4,723.7 ","525,301.0 ",,"521,366.3 ","394,133.9 ","127,234.5 ",,"123,068.5 ",,"515,883.4 ",,,
2013/ 1- 3.,"522,586.1 ","301,191.7 ","294,160.6 ","245,476.8 ","20,301.4 ","77,483.1 ",332.6 ,"101,509.4 ","25,836.4 ",-131.9 ,"-4,317.8 ","81,218.7 ","85,536.6 ",381.2 ,,"-6,011.0 ","516,575.1 ","15,965.3 ","21,122.7 ","5,157.4 ","532,540.4 ",,"526,457.5 ","399,252.1 ","127,214.3 ",,"123,597.1 ",,"522,484.5 ",,,
4- 6.,"527,276.0 ","303,438.8 ","296,374.0 ","247,520.2 ","20,477.4 ","80,129.0 ","-2,389.3 ","102,867.3 ","26,812.7 ",42.0 ,"-4,392.4 ","83,943.6 ","88,336.0 ",290.4 ,,"-5,501.0 ","521,775.0 ","19,818.0 ","25,780.6 ","5,962.6 ","541,593.0 ",,"531,318.7 ","401,573.7 ","129,746.0 ",,"127,405.2 ",,"529,724.5 ",,,
7- 9.,"532,412.0 ","305,148.8 ","298,015.4 ","248,969.3 ","21,279.5 ","81,271.3 ",-481.7 ,"102,880.2 ","28,265.1 ",-85.7 ,"-6,181.1 ","83,862.9 ","90,044.0 ",315.7 ,,"-5,865.1 ","526,546.9 ","17,893.5 ","24,643.4 ","6,750.0 ","544,440.4 ",,"538,149.3 ","407,146.9 ","131,005.6 ",,"130,772.3 ",,"533,067.7 ",,,
10-12.,"531,796.0 ","304,637.0 ","297,577.1 ","248,409.3 ","22,031.8 ","81,860.0 ",63.0 ,"103,110.8 ","28,748.2 ",79.2 ,"-9,138.7 ","83,526.0 ","92,664.7 ",404.7 ,,"-7,297.2 ","524,498.8 ","18,110.0 ","24,466.4 ","6,356.4 ","542,608.8 ",,"540,433.0 ","408,514.1 ","131,920.0 ",,"132,580.2 ",,"531,675.6 ",,,
2014/ 1- 3.,"536,013.1 ","310,532.7 ","303,695.2 ","254,533.9 ","22,342.7 ","83,972.8 ","-2,345.1 ","103,419.7 ","28,094.5 ",71.5 ,"-9,905.0 ","88,649.7 ","98,554.7 ",-170.7 ,,"-8,677.7 ","527,335.4 ","18,013.9 ","25,348.0 ","7,334.1 ","545,349.3 ",,"545,935.2 ","414,351.2 ","131,592.5 ",,"134,377.9 ",,"538,424.4 ",,,
4- 6.,"526,384.7 ","295,344.5 ","288,840.9 ","239,533.5 ","20,444.3 ","82,285.1 ","2,512.8 ","103,082.9 ","27,120.1 ",93.6 ,"-4,619.2 ","89,828.3 ","94,447.5 ",120.6 ,,"-7,340.9 ","519,043.8 ","17,980.5 ","25,582.0 ","7,601.5 ","537,024.4 ",,"531,001.8 ","400,659.6 ","130,340.7 ",,"129,846.4 ",,"523,647.9 ",,,
7- 9.,"526,871.9 ","297,977.5 ","291,744.4 ","242,450.4 ","19,411.8 ","82,776.9 ",-114.1 ,"103,767.4 ","27,874.5 ",139.4 ,"-4,858.1 ","91,208.5 ","96,066.6 ",-103.4 ,,"-7,513.8 ","519,358.0 ","19,835.5 ","27,612.9 ","7,777.4 ","539,193.5 ",,"531,890.9 ","400,048.1 ","131,836.4 ",,"130,066.6 ",,"526,823.8 ",,,
10-12.,"529,324.4 ","298,493.9 ","292,256.9 ","242,945.1 ","19,451.2 ","83,406.4 ","-1,354.2 ","104,021.5 ","28,041.4 ",6.2 ,"-2,515.4 ","93,895.1 ","96,410.4 ",-226.6 ,,"-6,436.9 ","522,887.4 ","22,413.1 ","30,771.9 ","8,358.8 ","545,300.5 ",,"532,025.0 ","399,948.0 ","132,070.3 ",,"130,901.3 ",,"530,764.8 ",,,
2015/ 1- 3.,"537,439.4 ","299,898.9 ","293,392.1 ","244,054.6 ","19,966.0 ","87,606.7 ",49.1 ,"105,010.4 ","26,728.5 ",85.5 ,"-1,838.1 ","95,306.6 ","97,144.7 ",-67.4 ,,"-1,695.2 ","535,744.2 ","20,203.0 ","28,576.5 ","8,373.5 ","555,947.2 ",,"539,362.6 ","407,497.4 ","131,864.0 ",,"134,305.8 ",,"537,306.3 ",,,
4- 6.,"538,282.8 ","300,296.0 ","293,499.7 ","244,141.2 ","20,356.2 ","86,416.3 ","2,461.4 ","105,118.3 ","26,497.1 ",-73.6 ,"-2,955.2 ","92,080.4 ","95,035.6 ",166.3 ,,-353.4 ,"537,929.4 ","21,485.3 ","29,979.8 ","8,494.4 ","559,414.8 ",,"541,100.0 ","409,570.7 ","131,530.6 ",,"133,269.6 ",,"535,848.2 ",,,
7- 9.,"538,739.8 ","301,101.5 ","294,122.8 ","244,751.6 ","20,460.7 ","87,597.2 ",956.3 ,"105,624.0 ","26,500.7 ",-103.5 ,"-3,314.4 ","94,450.8 ","97,765.2 ",-82.8 ,,671.4 ,"539,411.2 ","21,117.2 ","30,240.7 ","9,123.5 ","560,528.4 ",,"542,109.2 ","410,108.3 ","132,002.5 ",,"134,557.6 ",,"537,915.8 ",,,
10-12.,"537,924.9 ","299,147.2 ","292,036.1 ","242,638.6 ","20,436.8 ","87,440.2 ","1,024.9 ","106,494.3 ","27,186.4 ",-73.9 ,"-3,714.8 ","93,454.2 ","97,169.0 ",-16.1 ,,"1,449.4 ","539,374.3 ","22,062.8 ","31,455.8 ","9,393.0 ","561,437.1 ",,"541,637.8 ","408,039.0 ","133,597.1 ",,"135,059.9 ",,"536,990.6 ",,,
2016/ 1- 3.,"541,847.4 ","299,257.9 ","292,066.7 ","242,640.6 ","20,430.7 ","86,924.5 ","1,235.3 ","107,775.5 ","27,962.9 ",9.2 ,"-1,744.2 ","94,155.6 ","95,899.9 ",-4.5 ,,"5,712.3 ","547,559.7 ","20,258.8 ","29,454.5 ","9,195.7 ","567,818.5 ",,"543,578.0 ","407,835.2 ","135,741.8 ",,"135,316.4 ",,"540,622.9 ",,,
4- 6.,"541,060.6 ","297,512.8 ","290,208.2 ","240,760.0 ","21,022.8 ","87,103.1 ","2,888.3 ","106,822.2 ","27,120.6 ",-196.2 ,"-1,214.8 ","93,542.9 ","94,757.7 ",1.9 ,,"5,825.8 ","546,886.4 ","19,127.6 ","28,873.0 ","9,745.5 ","566,014.0 ",,"542,262.7 ","408,517.9 ","133,744.7 ",,"135,246.0 ",,"538,381.7 ",,,
7- 9.,"542,052.2 ","298,646.2 ","291,212.4 ","241,746.0 ","21,386.4 ","87,454.8 ",125.3 ,"107,215.3 ","27,187.5 ",-270.9 ,304.7 ,"95,592.9 ","95,288.2 ",2.9 ,,"5,491.2 ","547,543.4 ","18,396.5 ","28,454.7 ","10,058.2 ","565,939.9 ",,"541,748.2 ","407,614.5 ","134,133.9 ",,"136,029.3 ",,"542,194.6 ",,,
10-12.,"543,000.9 ","299,412.6 ","291,921.2 ","242,431.6 ","21,496.9 ","88,119.5 ","-1,409.5 ","107,219.1 ","27,221.2 ",-339.3 ,"1,281.7 ","97,835.6 ","96,553.9 ",-1.3 ,,"3,927.8 ","546,928.7 ","18,569.2 ","28,623.8 ","10,054.6 ","565,497.9 ",,"541,746.1 ","407,639.9 ","134,106.6 ",,"136,839.1 ",,"544,719.7 ",,,
2017/ 1- 3.,"547,241.5 ","300,988.2 ","293,526.8 ","244,008.7 ","21,284.5 ","88,425.4 ",-457.4 ,"107,525.2 ","27,494.7 ",-290.1 ,"2,394.4 ","100,033.3 ","97,639.0 ",-123.4 ,,"1,537.8 ","548,779.2 ","20,953.1 ","31,396.5 ","10,443.4 ","569,732.3 ",,"544,984.9 ","410,252.9 ","134,732.6 ",,"137,205.6 ",,"547,970.7 ",,,
4- 6.,"549,284.8 ","302,592.2 ","295,112.5 ","245,569.4 ","21,501.3 ","89,163.3 ",-11.6 ,"106,982.5 ","27,739.8 ",92.8 ,"1,284.1 ","100,012.8 ","98,728.7 ",-59.6 ,,"1,737.2 ","551,022.0 ","19,750.6 ","30,380.6 ","10,630.0 ","570,772.6 ",,"548,041.0 ","413,261.7 ","134,780.9 ",,"138,405.2 ",,"549,214.6 ",,,
7- 9.,"553,795.3 ","301,576.0 ","294,030.3 ","244,465.9 ","21,330.2 ","89,911.9 ","2,329.2 ","107,404.4 ","27,196.8 ",84.2 ,"4,424.6 ","102,455.3 ","98,030.7 ",-461.9 ,,"2,569.6 ","556,364.9 ","21,092.4 ","31,459.8 ","10,367.4 ","577,457.4 ",,"549,748.7 ","415,091.6 ","134,659.5 ",,"138,437.2 ",,"551,469.4 ",,,
10-12.,"554,620.5 ","302,588.7 ","295,123.2 ","245,535.9 ","20,701.8 ","90,466.6 ","3,237.6 ","107,416.4 ","27,298.6 ",87.6 ,"3,064.6 ","103,895.5 ","100,830.9 ",-241.3 ,,369.2 ,"554,989.7 ","20,458.2 ","31,461.3 ","11,003.0 ","575,448.0 ",,"551,696.5 ","416,919.1 ","134,780.3 ",,"138,460.8 ",,"551,400.4 ",,,
2018/ 1- 3.,"554,945.2 ","302,199.4 ","294,969.9 ","245,361.1 ","20,162.6 ","91,375.7 ","1,534.7 ","108,249.0 ","27,601.2 ",62.8 ,"3,999.1 ","105,325.2 ","101,326.1 ",-239.4 ,,-527.1 ,"554,418.1 ","19,963.0 ","31,895.7 ","11,932.6 ","574,381.1 ",,"551,109.7 ","415,216.2 ","135,894.6 ",,"139,122.8 ",,"553,411.5 ",,,
4- 6.,"556,827.6 ","302,670.2 ","295,786.5 ","246,153.6 ","19,556.7 ","92,721.1 ","1,677.8 ","108,119.6 ","27,831.1 ",-44.6 ,"4,577.7 ","106,272.2 ","101,694.5 ",-282.1 ,,"-1,897.6 ","554,930.0 ","21,592.7 ","33,373.1 ","11,780.4 ","576,522.8 ",,"552,448.5 ","416,564.4 ","135,885.7 ",,"140,079.1 ",,"555,251.6 ",,,
7- 9.,"553,855.3 ","302,855.8 ","296,257.2 ","246,601.2 ","19,634.1 ","90,066.5 ","2,041.5 ","108,262.1 ","27,650.2 ",-15.9 ,"3,620.4 ","104,723.5 ","101,103.1 ",-259.6 ,,"-3,811.8 ","550,043.5 ","21,309.1 ","33,255.3 ","11,946.2 ","571,352.6 ",,"550,423.8 ","414,547.6 ","135,877.1 ",,"137,330.1 ",,"551,879.8 ",,,
10-12.,"553,257.4 ","302,473.7 ","295,882.2 ","246,204.3 ","19,957.9 ","91,986.1 ","3,332.4 ","109,022.5 ","27,294.4 ",-52.4 ,-688.3 ,"105,377.7 ","106,066.0 ",-68.8 ,,"-4,811.2 ","548,446.2 ","21,980.8 ","34,267.7 ","12,286.9 ","570,427.1 ",,"553,924.1 ","417,687.2 ","136,238.5 ",,"139,209.7 ",,"550,042.0 ",,,
2019/ 1- 3.,"554,283.7 ","301,598.7 ","294,737.5 ","245,041.8 ","20,469.7 ","91,973.1 ","1,537.2 ","109,412.7 ","27,958.4 ",-167.9 ,"1,625.0 ","103,591.8 ","101,966.8 ",-123.1 ,,"-1,603.1 ","552,680.6 ","21,598.7 ","33,554.6 ","11,955.9 ","574,279.4 ",,"552,695.2 ","415,535.9 ","137,160.8 ",,"140,386.6 ",,"553,000.9 ",,,
4- 6.,"556,287.3 ","302,086.0 ","294,996.2 ","245,277.6 ","20,751.9 ","91,471.6 ","3,191.6 ","110,049.3 ","28,190.6 ",-27.0 ,706.3 ,"104,174.5 ","103,468.2 ",-133.0 ,,"-2,420.4 ","553,867.0 ","21,922.0 ","34,214.7 ","12,292.7 ","575,788.9 ",,"555,651.0 ","417,459.3 ","138,193.2 ",,"140,410.4 ",,"553,182.1 ",,,
7- 9.,"557,350.8 ","304,798.8 ","297,589.9 ","247,837.9 ","20,907.3 ","93,429.4 ",149.1 ,"111,056.3 ","28,112.0 ",-41.6 ,-932.5 ,"104,649.7 ","105,582.2 ",-128.0 ,,"-2,246.7 ","555,104.2 ","21,994.9 ","34,821.1 ","12,826.2 ","577,099.1 ",,"558,345.4 ","419,250.8 ","139,095.9 ",,"142,434.8 ",,"557,309.7 ",,,
10-12.,"542,200.6 ","294,636.6 ","287,205.5 ","237,491.1 ","20,487.7 ","86,761.7 ","1,341.5 ","111,389.4 ","28,111.1 ",11.9 ,-408.1 ,"103,168.6 ","103,576.7 ",-131.3 ,,"-1,813.1 ","540,387.4 ","20,850.4 ","33,201.8 ","12,351.4 ","561,237.8 ",,"542,690.4 ","403,204.4 ","139,486.8 ",,"135,389.3 ",,"540,904.2 ",,,
2020/ 1- 3.,"544,204.4 ","296,601.3 ","288,842.0 ","239,101.7 ","19,483.3 ","90,745.1 ","-1,314.1 ","111,502.0 ","28,084.0 ",11.1 ,-968.3 ,"98,370.9 ","99,339.3 ",60.2 ,,-940.8 ,"543,263.6 ","21,768.7 ","33,211.8 ","11,443.1 ","565,032.3 ",,"545,076.8 ","405,510.4 ","139,566.9 ",,"138,284.6 ",,"545,516.9 ",,,
4- 6.,"501,408.5 ","271,612.8 ","263,393.6 ","213,812.6 ","19,557.8 ","84,532.0 ",974.4 ,"111,631.8 ","29,322.4 ",-88.7 ,"-17,298.4 ","81,421.4 ","98,719.8 ","1,164.4 ",,"5,089.1 ","506,497.6 ","17,857.1 ","28,417.3 ","10,560.2 ","524,354.7 ",,"517,516.5 ","376,668.4 ","140,849.5 ",,"133,471.2 ",,"500,588.2 ",,,
7- 9.,"529,709.3 ","286,392.0 ","277,749.6 ","228,052.3 ","18,629.6 ","84,544.1 ","-1,544.0 ","114,182.0 ","29,256.4 ",-14.1 ,"-1,986.0 ","89,466.6 ","91,452.6 ",249.3 ,,"4,160.7 ","533,869.9 ","18,373.8 ","29,006.3 ","10,632.4 ","552,243.7 ",,"531,439.3 ","388,036.1 ","143,405.6 ",,"132,470.5 ",,"531,264.6 ",,,
10-12.,"539,955.2 ","292,124.4 ","283,391.5 ","233,634.5 ","18,631.8 ","86,140.5 ","-2,162.8 ","115,100.7 ","29,665.9 ",-175.0 ,708.3 ,"97,716.5 ","97,008.2 ",-78.4 ,,"4,162.4 ","544,117.6 ","19,853.9 ","29,344.7 ","9,490.8 ","563,971.5 ",,"539,319.3 ","394,763.2 ","144,560.0 ",,"134,470.4 ",,"542,287.4 ",,,
2021/ 1- 3.,"538,443.6 ","286,766.6 ","278,276.5 ","228,539.0 ","18,952.7 ","87,341.5 ",-430.5 ,"114,927.2 ","29,637.1 ",-111.9 ,"1,646.1 ","100,441.2 ","98,795.1 ",-285.1 ,,689.7 ,"539,133.4 ","22,170.4 ","32,946.0 ","10,775.6 ","561,303.8 ",,"537,003.1 ","392,583.7 ","144,428.3 ",,"135,955.6 ",,"539,061.9 ",,,
4- 6.,"541,351.6 ","287,728.0 ","279,515.6 ","229,745.4 ","19,173.5 ","88,638.1 ",-633.0 ,"117,238.0 ","29,120.0 ",-95.5 ,295.6 ,"103,838.1 ","103,542.5 ",-113.1 ,,"-1,264.4 ","540,087.2 ","27,273.8 ","38,542.6 ","11,268.8 ","567,361.0 ",,"541,069.9 ","394,878.9 ","146,205.0 ",,"136,932.0 ",,"542,125.8 ",,,
7- 9.,"539,281.0 ","284,349.1 ","276,287.8 ","226,523.2 ","18,899.2 ","87,110.6 ","1,049.2 ","118,675.2 ","28,168.1 ",-69.3 ,"1,547.7 ","103,396.8 ","101,849.1 ",-448.8 ,,"-5,467.4 ","533,813.6 ","26,365.0 ","37,884.2 ","11,519.3 ","560,178.6 ",,"537,946.9 ","391,297.4 ","146,670.9 ",,"134,168.8 ",,"538,429.3 ",,,
10-12.,"545,242.3 ","292,941.4 ","284,931.7 ","235,074.0 ","18,716.2 ","87,567.2 ",595.7 ,"117,333.3 ","27,284.7 ",-54.1 ,"1,294.2 ","103,471.5 ","102,177.3 ",-436.3 ,,"-9,446.5 ","535,795.8 ","27,896.0 ","40,147.8 ","12,251.9 ","563,691.8 ",,"544,164.2 ","399,723.7 ","144,439.3 ",,"133,525.4 ",,"544,789.7 ",,,
