é¿éøãGêﬂí≤êÆånóÒ,,,,,,,,,,,,,,,,<éQçl>,,,,,,,,,,,(íPà :2000óÔîNòAçΩâøäiÅA10â≠â~),,,,,,,,,,,
Real Gross Domestic Product (seasonally adjusted series),,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billions of chained (2000) yen),,,,,,,,,,,
,çëì‡ëçê∂éY(éxèoë§),ñØä‘ç≈èIè¡îÔéxèo,,,ñØä‘èZëÓ,ñØä‘äÈã∆ê›îı,ñØä‘ç›å…ïiëùâ¡,ê≠ï{ç≈èIè¡îÔéxèo,åˆìIå≈íËéëñ{å`ê¨,åˆìIç›å…ïiëùâ¡,ç‡â›ÅEÉTÅ[ÉrÉX,,,äJç∑,,åà’óòìæ,çëì‡ëçèäìæ,äCäOÇ©ÇÁÇÃèäìæ,,,çëñØëçèäìæ,,çëì‡é˘óv,ñØä‘é˘óv,åˆìIé˘óv,,ëçå≈íËéëñ{å`ê¨,,,,,,,,,,,
,,,â∆åvç≈èIè¡îÔéxèo,,,,,,,,èÉóAèo,óAèo,óAì¸,,,,,èÉéÛéÊ,éÛéÊ,éxï•,,,,,,,,,,,,,,,,,,
,,,,èúÇ≠éùÇøâ∆ÇÃãAëÆâ∆í¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(expenditure approach),PrivateConsumption,Consumption ofHouseholds,Excludingimputed rent,PrivateResidentialInvestment,Private Non-Resi.Investment,PrivateInventory,GovernmentConsumption,PublicInvestment,PublicInventory,Goods & Services,,,Residual,,Tradinggains/losses,GDI,Income from /to the rest of the world,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross fixed capitalformation,,,,,,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,,,,,,,
7- 9.,"306,548.2 ","177,590.4 ","175,110.7 ","148,063.1 ","18,133.2 ","37,735.6 ","1,180.2 ","47,864.3 ","25,581.6 ","-1,915.7 ","4,681.8 ","23,302.5 ","18,620.7 ","-4,303.1 ",,"-3,629.3 ","302,918.9 ",180.0 ,"5,379.1 ","5,199.1 ","303,099.0 ",,"304,449.2 ","232,889.0 ","72,059.7 ",,"79,855.4 ",,,,,,,,,,,
10-12.,"310,808.0 ","182,334.0 ","179,828.1 ","152,401.1 ","18,597.5 ","37,055.1 ",802.1 ,"48,340.5 ","25,442.4 ","-2,211.0 ","5,034.7 ","23,157.6 ","18,122.9 ","-4,587.4 ",,"-4,138.7 ","306,669.3 ",674.7 ,"5,572.6 ","4,897.9 ","307,344.1 ",,"307,907.1 ","236,214.2 ","72,170.0 ",,"79,348.5 ",,,,,,,,,,,
1983/ 1- 3.,"311,004.0 ","182,118.0 ","179,529.8 ","151,968.4 ","18,616.8 ","36,527.8 ",130.5 ,"49,322.1 ","25,241.7 ","-1,817.9 ","5,644.4 ","23,415.8 ","17,771.4 ","-4,779.3 ",,"-3,476.6 ","307,527.4 ",165.4 ,"4,240.1 ","4,074.7 ","307,692.8 ",,"306,815.6 ","234,197.3 ","73,146.3 ",,"78,600.2 ",,,,,,,,,,,
4- 6.,"313,342.6 ","183,005.9 ","180,328.6 ","152,611.2 ","16,669.3 ","37,566.5 ",528.1 ,"50,210.1 ","25,010.0 ","-1,866.8 ","6,021.1 ","23,756.1 ","17,735.0 ","-3,801.5 ",,"-3,252.9 ","310,089.7 ",524.2 ,"4,273.7 ","3,749.5 ","310,613.9 ",,"308,420.7 ","235,250.9 ","73,707.4 ",,"77,950.6 ",,,,,,,,,,,
7- 9.,"318,031.0 ","185,379.1 ","182,635.8 ","154,659.3 ","16,655.4 ","37,413.9 ",412.2 ,"50,806.4 ","25,568.5 ","-1,724.9 ","6,907.2 ","24,755.9 ","17,848.7 ","-3,386.8 ",,"-3,596.1 ","314,434.9 ",454.6 ,"4,235.9 ","3,781.4 ","314,889.5 ",,"311,475.9 ","237,065.9 ","74,975.7 ",,"78,282.7 ",,,,,,,,,,,
10-12.,"320,680.6 ","186,049.6 ","183,255.6 ","155,143.4 ","16,769.8 ","37,612.7 ","1,910.6 ","51,141.8 ","25,226.9 ","-1,452.8 ","6,549.6 ","25,781.8 ","19,232.1 ","-3,127.5 ",,"-3,539.9 ","317,140.7 ",474.0 ,"4,496.1 ","4,022.1 ","317,614.7 ",,"315,269.5 ","240,697.5 ","75,110.4 ",,"78,284.3 ",,,,,,,,,,,
1984/ 1- 3.,"324,373.8 ","187,553.4 ","184,723.2 ","156,422.3 ","16,786.9 ","39,102.5 ","1,305.2 ","51,573.6 ","24,954.5 ",-873.1 ,"7,194.3 ","26,973.6 ","19,779.4 ","-3,223.5 ",,"-3,240.8 ","321,133.0 ",498.1 ,"4,608.0 ","4,110.0 ","321,631.0 ",,"317,997.8 ","242,895.7 ","75,638.2 ",,"79,690.4 ",,,,,,,,,,,
4- 6.,"329,286.2 ","188,707.0 ","185,838.2 ","157,367.0 ","16,643.5 ","39,609.5 ",479.2 ,"52,265.1 ","27,869.5 ","-1,227.0 ","7,973.7 ","27,827.5 ","19,853.8 ","-3,034.2 ",,"-3,387.9 ","325,898.2 ",661.5 ,"4,868.8 ","4,207.3 ","326,559.8 ",,"321,557.3 ","243,042.9 ","79,205.7 ",,"82,801.9 ",,,,,,,,,,,
7- 9.,"333,310.3 ","190,977.3 ","188,063.6 ","159,372.4 ","16,737.4 ","41,312.4 ","2,063.0 ","52,354.4 ","24,721.9 ",-821.7 ,"8,002.8 ","28,530.2 ","20,527.5 ","-2,037.2 ",,"-3,483.5 ","329,826.8 ",543.8 ,"5,194.6 ","4,650.8 ","330,370.5 ",,"325,751.3 ","250,054.0 ","76,171.5 ",,"81,864.9 ",,,,,,,,,,,
10-12.,"333,885.6 ","191,113.2 ","188,162.0 ","159,341.7 ","16,601.4 ","43,205.9 ",198.8 ,"52,066.7 ","24,110.4 ",-677.9 ,"9,200.3 ","29,327.4 ","20,127.1 ","-1,933.2 ",,"-3,452.6 ","330,432.9 ",954.6 ,"5,792.7 ","4,838.1 ","331,387.6 ",,"324,082.0 ","249,193.8 ","75,332.9 ",,"83,271.8 ",,,,,,,,,,,
